plantId,name_kr,name_en,grade,rarity,description,image_front,image_back,habitat,ecological_value,threats,synergy_ids,X,Y
cypripedium_japonicum,±¤¸ª¿ä°­²É,Cypripedium japonicum,1,Special,"Known as the Korean Lady's Slipper, this iconic orchid features unique pouch-like pinkish flowers. It is one of Korea's most critically endangered terrestrial orchids, representing the fragile beauty of deep mountain ecosystems.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/cypripedium_japonicum_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/cypripedium_japonicum_back.png,"Found in deep, humus-rich soil within shaded mountain valleys, typically at altitudes between 450m and 990m. It thrives under a deciduous forest canopy with specific light levels (canopy openness around 18%) and depends on a symbiotic relationship with mycorrhizal fungi like Lycoperdon nigrescens for nutrient absorption.","Acts as a biological indicator for healthy, undisturbed forest soils and complex fungal networks. Its presence signifies a mature and stable ecosystem with high micro-organism diversity.","Extremely vulnerable to illegal poaching due to its high ornamental value. Additionally, its inability to easily propagate artificially and its sensitivity to climate-induced changes in soil humidity make natural recovery very slow.","[""orchid_masters""]",37.473173,126.920908
gastrochilus_fuscopunctatus,±ÝÀÚ¶õ,Gastrochilus fuscopunctatus,1,Special,"A tiny, exquisite epiphytic orchid endemic to Jeju Island. It is characterized by its small, yellowish-green flowers with distinctive brownish spots, growing silently on the bark of aged trees.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/gastrochilus_fuscopunctatus_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/gastrochilus_fuscopunctatus_back.png,"Strictly limited to the evergreen broadleaf forests of Jeju Island. It grows as an epiphyte on the trunks and branches of old host trees in high-humidity environments, often near valleys or streams where fog is frequent.","A key component of the vertical biodiversity in Jeju's forest canopy, providing niche micro-habitats and resources for specialized arboreal insects.","The death of ancient host trees due to forest aging and pests, combined with the island's rising average temperatures and decreasing forest humidity, poses a severe threat to its survival.","[""orchid_masters""]",37.473033,126.920753
sedirea_japonica,³ªµµÇ³¶õ,Sedirea japonica,1,Special,"Prized for its elegant white flowers and powerful, sweet fragrance, this orchid is a cultural symbol of southern maritime beauty. Its thick, vibrant green leaves allow it to survive in harsh coastal winds.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/sedirea_japonica_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/sedirea_japonica_back.png,Naturally found on the trunks of old trees or hanging from sea-facing cliffs on Jeju Island and the southern coastal islands. It relies on the humid sea fog and high maritime humidity to sustain its moisture needs.,Provides a significant nectar source for maritime pollinators and contributes to the unique genetic diversity of Korea's island flora.,Almost entirely extinct in the wild due to decades of mass illegal collection for the horticultural market. Habitat fragmentation along coastal development zones further prevents the natural re-establishment of populations.,"[""orchid_masters"", ""coastal_resilience""]",37.473412,126.920975
thrixspermum_japonicum,ºñÀÚ¶õ,Thrixspermum japonicum,1,Special,"A rare epiphytic orchid that blooms with delicate, fleeting yellowish flowers. It is a 'ghost-like' plant that is difficult to spot unless in bloom, hidden in the dense foliage of ancient forests.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/thrixspermum_japonicum_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/thrixspermum_japonicum_back.png,"Found exclusively in the humid, shaded valleys of Jeju Island, particularly on the bark of ancient Torreya nucifera trees or other aged broadleaf species. It requires consistent air moisture and protection from direct sunlight.","Represents a unique evolutionary branch of epiphytic orchids in Korea and is an indicator species for ancient, undisturbed forest patches.",Highly localized distribution makes it extremely vulnerable to even minor environmental changes or the loss of specific host trees. Illegal collection remains a persistent threat despite its small size.,"[""orchid_masters""]",37.366798,127.106728
diapensia_lapponica_var._obovata,¾Ï¸Å,Diapensia lapponica var. obovata,1,Special,"Commonly known as the 'Rock Plum,' this is the world's smallest shrub. It forms dense, cushion-like mats on rocky mountain summits, blooming with pure white flowers that defy the harsh alpine wind.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/diapensia_lapponica_var._obovata_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/diapensia_lapponica_var._obovata_back.png,"Restricted to the extreme alpine tundra zone of Mt. Halla's summit (above 1,800m). It grows in rocky crevices and gravelly soil where few other plants can survive, enduring sub-zero temperatures and high-velocity winds.",An 'Ice-Age Relict' that has survived for thousands of years since the last glacial period. It is a crucial species for studying the botanical history and glacial migrations of East Asia.,"Global warming is its greatest enemy; as the summit temperatures rise, more competitive temperate plants move up, squeezing the alpine habitat. Physical trampling by hikers and soil erosion also cause direct damage.","[""alpine_survivors""]",,
mankyua_chejuense,Á¦ÁÖ°í»ç¸®»ï,Mankyua chejuense,1,Special,"A primitive fern found only on Jeju Island, often described as a 'living fossil.' It is a unique species that represents an independent evolutionary lineage within the fern family.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/mankyua_chejuense_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/mankyua_chejuense_back.png,Grows in specific seasonal wetlands known as 'Gotjawal' on Jeju Island. It thrives in depressed areas where water collects during the rainy season and stays moist in the basaltic rock crevices during drier months.,"Invaluable for evolutionary biology and plant systematics research. It is a 'monotypic' genus, meaning it is the only species of its kind in the entire world, all located within a small area of Jeju.","The development of the Gotjawal forests for golf courses, roads, and agriculture is the primary cause of its habitat destruction. Changes in the local groundwater level also directly impact its seasonal wetland environment.","[""jeju_guardians"", ""wetland_wonders"", ""endemic_pride""]",,
cymbidium_lancifolium,Á×¹é¶õ,Cymbidium lancifolium,1,Special,"A terrestrial orchid with bamboo-like leaves and elegant, pale green flowers with reddish-brown spots. It is a quiet dweller of the forest floor, blending seamlessly with its surroundings.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/cymbidium_lancifolium_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/cymbidium_lancifolium_back.png,"Found in the understory of evergreen broadleaf forests on Jeju Island. It prefers moist, shaded areas with thick leaf litter that provides the necessary organic nutrients and stable soil moisture.",Contributes to the complex soil-root interactions of Jeju's forests and serves as a nectar source for early-summer forest insects.,Illegal collection for its unique foliage and flowers is the main threat. Habitat loss due to the expansion of farmland and changes in forest composition also hinder its natural growth.,"[""mystic_orchids""]",,
gastrochilus_japonicus,Å½¶ó¶õ,Gastrochilus japonicus,1,Special,"Known as the Tamna Orchid, this small epiphyte produces clusters of bright yellowish-orange flowers. Its presence is a sign of a vibrant, healthy subtropical forest ecosystem.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/gastrochilus_japonicus_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/gastrochilus_japonicus_back.png,"Endemic to the southern part of Jeju Island, where it grows on the bark of aged trees in valleys and evergreen forests. It requires high humidity and moderate temperatures throughout the year.",A flagship species for the conservation of Jeju's unique epiphytic flora and a provider of food for specialized pollinators in the valley ecosystems.,"Climate change and the resulting shifts in forest humidity are major long-term threats. Short-term, illegal collection remains a significant danger to the few remaining wild populations.","[""jeju_guardians"", ""mystic_orchids""]",,
cypripedium_guttatum,ÅÐº¹ÁÖ¸Ó´Ï¶õ,Cypripedium guttatum,1,Special,"A striking orchid featuring white flowers covered in vivid purple-brown spots. The entire plant is covered in fine, soft hairs, giving it a soft, velvety appearance.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/cypripedium_guttatum_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/cypripedium_guttatum_back.png,"Found in high-altitude meadows and grassy slopes of the northern mountains, such as Mt. Seorak and Mt. Taebaek. It prefers cool temperatures and well-drained, nutrient-rich soil.","A beautiful and rare member of the high-altitude flora of the Baekdudaegan mountain range, supporting the specialized pollination networks of alpine meadows.","Extremely sensitive to temperature increases; as the alpine climate warms, its habitat is shrinking. Illegal collection for its high ornamental value further decimates the remaining populations.","[""mystic_orchids""]",,
wind_orchid,Ç³¶õ,Neofinetia falcata,1,Special,"One of the most beloved orchids in East Asian culture, known for its pristine white flowers and long, elegant nectar spurs. Its leaves are thick and curved, designed to store water in maritime environments.",https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/front/wind_orchid_front.png,https://storage.googleapis.com/ecogo-pjt.firebasestorage.app/plants/back/wind_orchid_back.png,Naturally clings to maritime cliffs and old trees on Jeju Island and the southern coast. It survives by absorbing moisture from sea fog and rain through its specialized aerial roots.,"A key species in the maritime ecosystem, adapted to survive where few other vascular plants can. It is a historical and genetic treasure of Korea.","Nearly vanished from the wild due to centuries of collection for its fragrance and beauty. Current wild populations are incredibly rare and require strict, direct protection from poaching.","[""orchid_masters"", ""coastal_resilience""]",,
